transition_id,age_ka,jump_direction,event_type,window_label,d_cut,sigma_cut,change_cut,change_cut_setting,edge_nan_ksstat,best_for_window
26,160.495,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
27,163.82,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
28,168.82999999999998,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
29,169.56,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
30,173.13,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
31,176.25,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
32,178.815,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
33,182.5,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
34,190.485,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
35,199.13,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
36,226.835689741667,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
37,242.40550000000002,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
38,248.34199999999998,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
39,251.166,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
40,258.772,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
41,264.0017,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
42,273.5077,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
43,293.9178,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
44,316.44,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
45,334.69399999999996,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
46,337.3835,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
47,351.4475,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
48,365.6535,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
49,368.115,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
50,370.7645,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
51,377.221,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
52,391.09707467481905,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
53,393.5816900862267,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
54,415.9197628950841,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
55,426.0392601558315,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
56,447.3791051375909,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
57,449.7844123349564,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
58,458.90002063725,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
59,463.20418726370576,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
60,466.00933331939416,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
61,472.626600937941,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
62,483.7057445691022,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
63,504.1380422297446,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
64,506.10839999999996,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
65,531.73785,-1,strong_monsoon_start,0.6-4,0.75,2.0,0.5534439014047682,default,False,0.6-4
