window_label,d_cut,sigma_cut,change_cut_setting,edge_nan_ksstat,match_tolerance_ka,n_detected_total,n_published_total,n_matched_total,n_unmatched_detected_total,n_unmatched_published_total,median_abs_age_error_ka,mean_abs_age_error_ka,precision_total,recall_total,f1_total,unmatched_total
0.4-4,0.77,1.0,0.2,False,0.8,284,196,165,119,31,0.028099999999980696,0.11277732899971843,0.5809859154929577,0.8418367346938775,0.6875,150
0.4-4,0.72,1.0,0.2,False,0.8,298,196,171,127,25,0.02811250000000598,0.10987547984975499,0.5738255033557047,0.8724489795918368,0.6923076923076924,152
0.4-4,0.7,1.0,0.2,False,0.8,300,196,171,129,25,0.03091760617038375,0.10834018070146728,0.57,0.8724489795918368,0.6895161290322581,154
0.4-4,0.68,1.0,0.2,False,0.8,300,196,171,129,25,0.03229565465631623,0.11006080900204866,0.57,0.8724489795918368,0.6895161290322581,154
0.4-4,0.77,2.0,0.0,False,0.8,277,196,158,119,38,0.021400000000014074,0.09203425948010434,0.5703971119133574,0.8061224489795918,0.6680761099365751,157
0.4-4,0.75,2.0,0.0,False,0.8,282,196,160,122,36,0.02136977911744964,0.09026902089941408,0.5673758865248227,0.8163265306122449,0.6694560669456068,158
0.4-4,0.72,2.0,0.0,False,0.8,290,196,164,126,32,0.021577364084365058,0.09121199994752746,0.5655172413793104,0.8367346938775511,0.6748971193415638,158
0.4-4,0.7,2.0,0.0,False,0.8,294,196,164,130,32,0.02107736408436267,0.08990574994752709,0.5578231292517006,0.8367346938775511,0.6693877551020408,162
0.4-4,0.75,1.5,0.0,False,0.8,306,196,170,136,26,0.027350000000026853,0.10779824983793407,0.5555555555555556,0.8673469387755102,0.6772908366533865,162
0.4-4,0.68,2.0,0.0,False,0.8,295,196,164,131,32,0.02107736408436267,0.08990574994752709,0.5559322033898305,0.8367346938775511,0.6680244399185337,163
0.4-4,0.77,1.5,0.0,False,0.8,300,196,166,134,30,0.02787371560226859,0.11041247228996788,0.5533333333333333,0.8469387755102041,0.6693548387096775,164
0.4-4,0.72,1.5,0.0,False,0.8,311,196,171,140,25,0.028149999999996567,0.11023115793001376,0.5498392282958199,0.8724489795918368,0.6745562130177515,165
0.4-4,0.68,1.5,0.0,False,0.8,316,196,172,144,24,0.030600000000049477,0.1097919486467015,0.5443037974683544,0.8775510204081632,0.6718749999999999,168
0.4-4,0.7,1.5,0.0,False,0.8,314,196,171,143,25,0.03067500000004486,0.11145814357904332,0.5445859872611465,0.8724489795918368,0.6705882352941177,168
0.4-4,0.75,1.0,0.0,False,0.8,314,196,169,145,27,0.02597371560224815,0.11582166045071765,0.5382165605095541,0.8622448979591837,0.6627450980392157,172
0.4-4,0.77,1.0,0.0,False,0.8,306,196,164,142,32,0.02822499999996353,0.12051921833930417,0.5359477124183006,0.8367346938775511,0.6533864541832669,174
0.4-4,0.72,1.0,0.0,False,0.8,320,196,170,150,26,0.028112500000013085,0.11731904968883974,0.53125,0.8673469387755102,0.6589147286821705,176
0.4-4,0.7,1.0,0.0,False,0.8,324,196,170,154,26,0.03173163041333282,0.11707135590454926,0.5246913580246914,0.8673469387755102,0.6538461538461537,180
