realization_id,sampled_age_ka,event_index,event_type,event_label,event_short_label,published_start_age_ka,age_error_2sigma_kyr,age_sigma_kyr,sampling_lower_bound_ka,sampling_upper_bound_ka,truncated_gaussian_mass_kept,sampled_minus_published_ka
1,391.740740815738,69,strong_monsoon_start,Strong monsoon starts,Strong,390.8,3.3944907535140523,1.6972453767570261,387.40550924648596,392.20000000000005,0.7725260316568885,0.9407408157379678
1,395.1456383483476,70,strong_monsoon_start,Strong monsoon starts,Strong,393.6,3.4243450302434435,1.7121725151217217,392.20000000000005,397.02434503024347,0.7704783630998869,1.545638348347552
1,412.3367176802014,71,strong_monsoon_start,Strong monsoon starts,Strong,412.25,3.6300070194873943,1.8150035097436972,408.6199929805126,415.8800070194874,0.9544997361036407,0.0867176802013887
1,428.36437121640324,72,strong_monsoon_start,Strong monsoon starts,Strong,426.05,3.7900968274572677,1.8950484137286339,422.25990317254275,429.8400968274573,0.9544997361036414,2.314371216403231
1,447.95540707377563,73,strong_monsoon_start,Strong monsoon starts,Strong,447.4,4.051794035846466,2.025897017923233,443.3482059641535,448.42499999999995,0.6708035429480448,0.5554070737756547
1,448.8480089426901,74,strong_monsoon_start,Strong monsoon starts,Strong,449.45,4.077853500673136,2.038926750336568,448.42499999999995,453.52785350067313,0.6696676988875719,-0.6019910573098741
1,457.8736581203935,75,strong_monsoon_start,Strong monsoon starts,Strong,458.9,4.200164815679179,2.1000824078395897,454.6998351843208,461.025,0.821448578084663,-1.0263418796064911
1,461.9957274652059,76,strong_monsoon_start,Strong monsoon starts,Strong,463.15,4.2563619340238965,2.1281809670119483,461.025,464.54999999999995,0.5856619431588093,-1.1542725347940745
1,465.14394912255335,77,strong_monsoon_start,Strong monsoon starts,Strong,465.95,4.293796321604376,2.146898160802188,464.54999999999995,469.35,0.6861995639712866,-0.8060508774466371
1,474.467574017713,78,strong_monsoon_start,Strong monsoon starts,Strong,472.75,4.3860848208556185,2.1930424104278092,469.35,477.1360848208556,0.9167220151192625,1.717574017712991
1,485.5249351957064,79,strong_monsoon_start,Strong monsoon starts,Strong,483.65,4.538173851300738,2.269086925650369,479.11182614869927,488.1881738513007,0.9544997361036405,1.8749351957064277
1,501.45988050880504,80,strong_monsoon_start,Strong monsoon starts,Strong,504.15,4.838644475763907,2.4193222378819534,499.3113555242361,508.98864447576386,0.9544997361036407,-2.6901194911949347
1,532.5499163667428,81,strong_monsoon_start,Strong monsoon starts,Strong,531.75,5.2748407550123995,2.6374203775061997,526.4751592449876,537.0248407550124,0.9544997361036418,0.7999163667427638
1,549.333053061644,82,strong_monsoon_start,Strong monsoon starts,Strong,548.25,5.554170630920899,2.7770853154604493,542.6958293690791,550.9,0.8072682455325234,1.0830530616440228
1,553.4977892789009,83,strong_monsoon_start,Strong monsoon starts,Strong,553.55,5.64699674783862,2.82349837391931,550.9,554.5999999999999,0.4710281544601739,-0.05221072109907254
1,554.8203459423985,84,strong_monsoon_start,Strong monsoon starts,Strong,555.65,5.684204628482119,2.8421023142410595,554.5999999999999,557.4,0.3750692940014894,-0.8296540576014877
1,558.6204508789347,85,strong_monsoon_start,Strong monsoon starts,Strong,559.15,5.746763338428802,2.873381669214401,557.4,560.2,0.37135272778392237,-0.5295491210653154
1,560.8410598780299,86,strong_monsoon_start,Strong monsoon starts,Strong,561.25,5.7846285707669844,2.8923142853834922,560.2,561.75,0.21033312746864463,-0.40894012197009033
